freq,psd_x,psd_y,psd_z,psd_xyz
47.5,3.584e+02,3.486e+04,6.756e+01,3.529e+04
49.0,3.836e+02,3.678e+04,6.926e+01,3.723e+04
50.4,4.805e+02,4.120e+04,7.865e+01,4.176e+04
51.9,9.670e+02,5.644e+04,9.358e+01,5.750e+04
53.4,1.523e+03,7.423e+04,9.823e+01,7.585e+04
54.9,1.057e+03,6.414e+04,8.314e+01,6.528e+04
56.4,6.169e+02,5.627e+04,8.010e+01,5.696e+04
57.9,5.807e+02,6.175e+04,7.866e+01,6.241e+04
59.3,6.665e+02,6.842e+04,9.644e+01,6.918e+04
60.8,7.801e+02,7.613e+04,1.257e+02,7.704e+04
62.3,9.209e+02,8.725e+04,1.441e+02,8.831e+04
63.8,1.072e+03,9.867e+04,1.603e+02,9.990e+04
65.3,1.316e+03,1.098e+05,1.772e+02,1.113e+05
